NFLID,Height,Weight,DOB,College
00-0023982,Ryan Neill,253,12/12/1982,Rutgers
00-0023981,Martin Nance,212,5/26/1983,Miami (Ohio)
00-0019613,Ralph Brown,185,9/16/1978,Nebraska
00-0028274,Tim Barnes,300,5/14/1988,Missouri
00-0028275,Damien Berry,223,10/21/1988,Miami (Fla.)
00-0028270,Weslye Saunders,261,1/16/1989,South Carolina
00-0028271,Eric Greenwood,223,11/2/1988,Idaho
00-0028278,Josh Bynes,235,8/24/1989,Auburn
00-0028279,Bryan Hall,280,9/12/1988,Arkansas State
00-0029585,Chandler Jones,265,2/27/1990,Syracuse
00-0029584,Jerry Brown,265,10/20/1987,Illinois
00-0029587,Rhett Ellison,255,10/3/1988,USC
00-0029586,Derek Wolfe,285,2/24/1990,Cincinnati
00-0029581,Andre Freeman,190,5/6/1989,Slippery Rock
00-0029580,Rishard Matthews,217,10/12/1989,Nevada
00-0029583,Kyle Newhall-Caballero,220,2/19/1988,Brown
00-0034002,Larson Graham,292,4/9/1994,Duquesne
00-0034003,Noor Davis,243,12/15/1994,Stanford
00-0034001,Dejaun Butler,180,2/2/1994,Hawaii
00-0029589,Scott Solomon,260,11/5/1988,Rice
00-0029588,Dan Herron,212,3/21/1989,Ohio State
00-0034005,Jarell Carter,196,8/7/1995,Trinity International
00-0031632,Denzelle Good,345,3/8/1991,Mars Hill
00-0031630,Akeem King,212,10/29/1992,San Jose State
00-0031636,Justin Hamilton,315,7/27/1993,Louisiana-Lafayette
00-0031634,Tyson Chandler,331,2/2/1991,North Carolina State
00-0028189,Tommie Campbell,198,9/19/1987,California (PA)
00-0028186,Eric Hagg,205,9/15/1989,Nebraska
00-0028187,DeMarco Sampson,204,12/19/1985,San Diego State
00-0028184,Jay Finley,203,5/15/1988,Baylor
00-0028185,Jeremy Beal,280,12/2/1987,Oklahoma
00-0028182,Lee Ziemba,313,3/29/1989,Auburn
00-0028183,Michael Jasper,375,10/8/1986,Bethel College (Tenn.)
00-0028180,Malcolm Smith,225,7/5/1989,USC
00-0028181,Nate Bussey,220,2/20/1989,Illinois
00-0032981,Aziz Shittu,288,7/27/1994,Stanford
00-0032980,Marcus Johnson,204,8/5/1994,Texas
00-0032983,Dominique Alexander,235,4/20/1995,Oklahoma
00-0032987,Tracy Howard,185,4/29/1994,Miami (Fla.)
00-0032986,J.P. Holtz,240,8/28/1993,Pittsburgh
00-0032989,Mike Matthews,300,1/17/1994,Texas A&M
00-0032988,Nile Lawrence-Stample,320,7/14/1992,Florida State
00-0028986,Case Keenum,215,2/17/1988,Houston
00-0028987,Phillip Supernaw,255,1/30/1990,Ouachita Baptist
00-0028984,Brian Tyms,204,2/21/1989,Florida A&M
00-0028985,David Hunter,301,9/19/1989,Houston
00-0028982,Anthony Mosley,178,8/31/1989,Kentucky
00-0028983,Kevin Murphy,305,2/16/1990,Harvard
00-0028980,Jewel Hampton,210,12/23/1989,Southern Illinois
00-0028981,Joe Holland,229,8/20/1988,Purdue
00-0031989,Harold Jones-Quartey,210,8/6/1993,Findlay
00-0028989,Tommie Draheim,309,12/23/1988,San Diego State
00-0030925,Ricky Tjong-A-Tjoe,309,4/4/1990,Boise State
00-0029058,Drew Nowak,292,3/7/1990,Western Michigan
00-0030924,Chase Tenpenny,252,8/6/1991,Nevada
00-0029053,Ryan Davis,260,2/24/1989,Bethune-Cookman
00-0029052,Michael Brewster,305,7/27/1989,Ohio State
00-0029051,Jarrett Boykin,215,11/4/1989,Virginia Tech
00-0029050,Valentino Blake,198,8/9/1990,Texas-El Paso
00-0029055,Kevin Elliott,205,12/21/1988,Florida A&M
00-0029054,Antonio Dennard,190,12/20/1989,Langston
00-0030926,Colton Underwood,254,1/26/1992,Illinois State
00-0007308,Craig Hentrich,213,5/18/1971,Notre Dame
00-0030921,Tenny Palepoi,298,12/19/1990,Utah
00-0030920,Javontee Herndon,197,6/29/1991,Arkansas
00-0022218,Erik Coleman,207,5/6/1982,Washington State
00-0030923,Jeremiah Sirles,315,8/8/1991,Nebraska
00-0024002,Brandon McKinney,345,8/24/1983,Michigan State
00-0030922,Alvin Scioneaux,232,5/2/1991,Wofford
00-0022214,Travelle Wharton,315,5/19/1981,South Carolina
00-0022216,Nathan Vasher,185,11/17/1981,Texas
00-0022217,Mewelde Moore,209,7/24/1982,Tulane
00-0026056,Gary Banks,198,11/4/1981,Troy
00-0026057,Josh Bell,177,1/8/1985,Baylor
00-0026054,Eric Bakhtiari,250,12/2/1984,San Diego
00-0026053,Joe West,208,2/1/1984,Texas-El Paso
00-0030851,Eric Pike,298,3/19/1991,Towson
00-0030850,Cody Parkey,190,2/19/1992,Auburn
00-0030853,Loucheiz Purifoy,188,12/16/1992,Florida
00-0030855,Zurlon Tipton,231,4/27/1989,Central Michigan
00-0030586,Ryan Nassib,223,3/10/1990,Syracuse
00-0030857,Deion Belue,183,9/3/1991,Alabama
00-0029638,Michael Floyd,220,11/27/1989,Notre Dame
00-0029637,Lamont Bryant,225,1/6/1988,Morgan State
00-0030858,Steven Clarke,193,4/19/1991,Vanderbilt
00-0029635,Caleb McSurdy,237,2/24/1990,Montana
00-0029634,James Hanna,260,7/14/1989,Oklahoma
00-0029633,Danny Coale,187,6/27/1988,Virginia Tech
00-0029632,Mohamed Sanu,210,8/22/1989,Rutgers
00-0029631,Miles Burris,235,6/27/1988,San Diego State
00-0029630,Michael Brockers,302,12/21/1990,LSU
00-0024741,Keith Grennan,298,5/20/1984,Eastern Washington
00-0024745,Louis Leonard,325,7/16/1984,Fresno State
00-0033171,Jesse Schmitt,249,8/25/1992,Purdue
00-0027951,Nick Fairley,308,1/23/1988,Auburn
00-0033176,Jake Ceresna,295,7/9/1994,Cortland State (NY)
00-0033175,Kyle Steuck,317,7/13/1993,Northern Michigan
00-0033174,Tylor Harris,306,2/16/1994,Wake Forest
00-0032457,Pearce Slater,335,10/1/1993,San Diego State
00-0027952,Robert Quinn,250,5/18/1990,North Carolina
00-0023186,Leigh Torrence,179,1/4/1982,Stanford
00-0023168,Orrin Thompson,320,11/11/1982,Duke
00-0027898,Nyan Boateng,204,,California
00-0027954,Ryan Kerrigan,259,8/16/1988,Purdue
00-0027891,Golden Tate,197,8/2/1988,Notre Dame
00-0027890,Ben Tate,220,8/21/1988,Auburn
00-0027893,Damian Williams,200,5/26/1988,USC
00-0027892,Pat Angerer,236,1/31/1987,Iowa
00-0027895,Kevin Thomas,192,9/20/1986,USC
00-0027894,NaVorro Bowman,242,5/28/1988,Penn State
00-0027897,Derrick Townsel,175,7/12/1988,Murray State
00-0027896,Randy Phillips,210,9/14/1986,Miami (Fla.)
00-0025833,Patrick Bailey,243,11/19/1985,Duke
00-0020840,Ryan Clark,205,10/12/1979,LSU
00-0025834,Donovan Woods,230,7/27/1985,Oklahoma State
00-0025838,Jo-Lonn Dunbar,235,3/13/1985,Boston College
00-0027091,Slade Norris,232,10/25/1985,Oregon State
00-0027090,Lawrence Sidbury,269,2/6/1986,Richmond
00-0027093,Tony Fiammetta,250,8/22/1986,Syracuse
00-0027092,Austin Collie,204,11/11/1985,Brigham Young
00-0027095,Gerald McRath,228,6/16/1986,Southern Mississippi
00-0027094,Andre Brown,227,12/15/1986,North Carolina State
00-0027097,Tyronne Green,316,4/6/1986,Auburn
00-0027096,Seth Olsen,305,12/17/1985,Iowa
00-0027099,Troy Kropog,295,7/31/1986,Tulane
00-0027098,Gartrell Johnson,219,6/21/1986,Colorado State
00-0032452,Trevor Bates,247,8/28/1993,Maine
00-0023578,Dan Orlovsky,215,8/18/1983,Connecticut
00-0023579,Trent Cole,270,10/5/1982,Cincinnati
00-0023570,Roydell Williams,178,3/14/1981,Tulane
00-0023571,Ronald Fields,314,9/13/1981,Mississippi State
00-0000551,Brendon Ayanbadejo,225,9/6/1976,UCLA
00-0032451,Devin Fuller,194,1/29/1994,UCLA
00-0032450,Dwayne Washington,223,4/24/1994,Washington
00-0026878,Tom Crabtree,245,11/4/1985,Miami (Ohio)
00-0026879,Darryl Harris,300,1/14/1985,Mississippi
00-0026871,Dion Gales,310,8/17/1985,Troy
00-0026873,Bobby Greenwood,278,3/2/1987,Alabama
00-0026874,Taurus Johnson,205,4/13/1986,South Florida
00-0026875,Ricky Price,195,9/16/1987,Oklahoma State
00-0026876,Corey Smith,225,1/17/1987,Cincinnati
00-0026877,Pierre Walters,269,3/25/1986,Eastern Illinois
00-0030073,Duke Williams,201,10/15/1990,Nevada
00-0030072,Jordan Hill,290,2/8/1991,Penn State
00-0030071,Hugh Thornton,320,6/28/1991,Illinois
00-0030070,John Jenkins,327,7/11/1989,Georgia
00-0030077,Chris Harper,228,9/10/1989,Kansas State
00-0030076,JC Tretter,307,2/12/1991,Cornell
00-0030075,Khaled Holmes,309,1/19/1990,USC
00-0030074,David Bakhtiari,310,9/30/1991,Colorado
00-0030079,Devin Taylor,270,11/15/1989,South Carolina
00-0030078,Johnathan Franklin,205,10/23/1989,UCLA
00-0028043,Roy Helu,220,12/7/1988,Nebraska
00-0022026,Brooks Bollinger,205,11/15/1979,Wisconsin
00-0028041,Sam Acho,259,9/6/1988,Texas
00-0028040,Jordan Cameron,265,8/7/1988,USC
00-0028047,Colin McCarthy,243,5/30/1988,Miami (Fla.)
00-0028046,Quinton Carter,200,7/20/1988,Oklahoma
00-0028517,John Chiles,210,10/9/1988,Texas
00-0028044,Christian Ballard,283,1/3/1989,Iowa
00-0028518,Jarred Fayson,214,10/13/1987,Illinois
00-0028049,Clyde Gates,197,6/13/1986,Abilene Christian
00-0028048,David Arkin,307,10/7/1987,Missouri State
00-0030536,Zac Stacy,224,4/9/1991,Vanderbilt
00-0022029,Torrie Cox,192,10/29/1980,Pittsburgh
00-0033915,Tim Williams,260,11/12/1993,Alabama
00-0026916,Rhett Bomar,225,7/2/1985,Sam Houston State
00-0026915,Davon Drew,260,12/9/1985,East Carolina
00-0026914,Brandon Hughes,185,5/23/1986,Oregon State
00-0026913,Johnny Knox,185,11/3/1986,Abilene Christian
00-0026912,William Middleton,190,7/28/1986,Furman
00-0026911,Jason Phillips,240,2/14/1986,Texas Christian
00-0026910,Greg Toler,180,1/2/1985,St. Paul's (VA)
00-0033919,Carlos Henderson,198,12/19/1994,Louisiana Tech
00-0033918,Fabian Moreau,198,4/9/1994,UCLA
00-0026919,Xavier Fulton,301,4/18/1986,Illinois
00-0026918,Marcus Freeman,240,1/10/1986,Ohio State
00-0030534,Barrett Jones,308,5/25/1990,Alabama
00-0030460,Markus Wheaton,185,2/7/1991,Oregon State
00-0030461,Edmund Kugbila,325,9/21/1990,Valdosta State
00-0030462,Sanders Commings,223,3/8/1990,Georgia
00-0030463,A.J. Klein,240,7/30/1991,Iowa State
00-0030464,Terry Hawthorne,195,1/1/1990,Illinois
00-0030465,Kenjon Barner,195,4/28/1990,Oregon
00-0030466,Justin Brown,209,3/10/1991,Oklahoma
00-0030467,Justin Veltung,182,3/30/1991,Idaho
00-0030468,Caesar Rayford,272,3/4/1986,Washington
00-0030469,Johnthan Banks,190,10/3/1989,Mississippi State
00-0030535,Brandon McGee,193,12/11/1990,Miami (Fla.)
00-0011626,Brian Moorman,174,2/5/1976,Pittsburg State
00-0029934,Rodney Smith,225,3/11/1990,Florida State
00-0029935,Collins Ukwu,260,1/6/1990,Kentucky
00-0023376,Antwain Spann,200,2/22/1983,Louisiana-Lafayette
00-0029930,Marquis Jackson,280,1/11/1990,Portland State
00-0029931,Zach Line,233,4/26/1990,Southern Methodist
00-0029932,Anthony McCloud,313,8/6/1989,Florida State
00-0029933,Bradley Randle,193,9/17/1990,Nevada-Las Vegas
00-0032531,Will Monday,210,7/25/1992,Duke
00-0032532,Giorgio Newberry,295,11/26/1991,Florida State
00-0029938,Jerodis Williams,203,3/30/1991,Furman
00-0023379,Brandon Rideau,198,10/18/1982,Kansas
00-0032536,Quinton Schooley,298,12/4/1993,North Carolina State
00-0032537,Canaan Severin,205,3/16/1993,Virginia
00-0025795,Nevin McCaskill,309,12/29/1983,Hampton
00-0025790,Mark Washington,258,8/20/1985,Texas State
00-0020543,Matt Light,305,6/23/1978,Purdue
00-0031843,Ryan Delaire,260,1/17/1992,Towson
00-0031844,Deshazor Everett,195,2/22/1992,Texas A&M
00-0031847,Josh Keyes,227,1/23/1993,Boston College
00-0031846,Rannell Hall,200,1/30/1993,Central Florida
00-0026264,Justin Tryon,180,5/29/1984,Arizona State
00-0026267,Jacob Tamme,230,3/15/1985,Kentucky
00-0026266,Lavelle Hawkins,194,7/12/1986,California
00-0026261,Red Bryant,323,4/18/1984,Texas A&M
00-0026260,Craig Steltz,210,5/7/1986,LSU
00-0026263,Bryan Kehl,243,6/16/1984,Brigham Young
00-0026262,Tashard Choice,210,11/20/1984,Georgia Tech
00-0023084,Marques Harris,245,9/20/1981,Southern Utah
00-0026269,Jonathan Wilhite,185,2/23/1984,Auburn
00-0026268,Keenan Burton,206,10/29/1984,Kentucky
00-0027798,Jorrick Calvin,192,7/17/1987,Troy
00-0027799,Jordan Pugh,210,1/29/1988,Texas A&M
00-0027796,Joe Webb,230,11/14/1986,Alabama-Birmingham
00-0027797,Charles Scott,242,8/8/1988,LSU
00-0027794,Jamar Wall,202,1/10/1988,Texas Tech
00-0027795,David Gettis,220,8/27/1987,Baylor
00-0027792,Ramon Harewood,330,2/3/1987,Morehouse
00-0027793,Antonio Brown,181,7/10/1988,Central Michigan
00-0027790,Danny Batten,250,12/8/1987,South Dakota State
00-0027791,James Starks,218,2/25/1986,Buffalo
00-0032439,Jimmy Landes,252,8/13/1992,Baylor
00-0032438,Maurice Canady,193,5/26/1994,Virginia
00-0029837,Mike Edwards,200,12/14/1989,Texas-El Paso
00-0029836,Keenan Davis,215,1/30/1991,Iowa
00-0029237,Austin Wells,255,3/28/1989,Northern Iowa
00-0024687,Dominique Zeigler,185,10/11/1984,Baylor
00-0024681,Brandon London,210,10/16/1984,Massachusetts
00-0024682,Michael Matthews,270,10/9/1983,Georgia Tech
00-0028952,Drew Butler,217,5/10/1989,Georgia
00-0032433,Kyle Murphy,305,12/11/1993,Stanford
00-0028486,Ryan Mahaffey,250,11/28/1987,Northern Iowa
00-0027138,Myron Pryor,305,6/13/1986,Kentucky
00-0027139,John Phillips,251,6/11/1987,Virginia
00-0029839,Chris Faulk,317,1/21/1990,LSU
00-0027130,James Davis,218,1/1/1986,Clemson
00-0027131,Keith Null,219,9/24/1985,West Texas A&M;
00-0027136,Jason McCourty,195,8/13/1987,Rutgers
00-0027137,Dominique Edison,204,7/16/1986,Stephen F. Austin St.
00-0027134,Curtis Painter,230,6/24/1985,Purdue
00-0027135,Brandon Myers,256,9/4/1985,Iowa
00-0032437,Kamu Grugier-Hill,220,5/16/1994,Eastern Illinois
00-0024537,Kurt Quarterman,325,10/5/1985,Louisville
00-0024535,Eric Weems,195,7/4/1985,Bethune-Cookman
00-0032436,Jeff Driskel,238,4/23/1993,Louisiana Tech
00-0024533,Renardo Foster,333,7/15/1984,Louisville
00-0024532,Justin Vincent,219,1/25/1983,LSU
00-0024530,Kelly Talavou,350,10/4/1984,Utah
00-0029234,Kellen Moore,200,7/12/1989,Boise State
00-0033726,Winston Craig,290,7/25/1995,Richmond
00-0033724,Nelson Adams,289,2/16/1994,Mississippi State
00-0033725,Corey Clement,220,11/2/1994,Wisconsin
00-0033720,Colin Thompson,257,12/15/1993,Temple
00-0033721,Nigel Tribune,193,8/7/1995,Iowa State
00-0033728,Randall Goforth,190,1/27/1994,UCLA
00-0033729,Cameron Johnston,194,2/24/1992,Ohio State
00-0030268,Patrick Lewis,311,1/30/1991,Texas A&M
00-0030269,Angelo Pease,211,8/12/1991,Kansas State
00-0030266,Jeremy Wright,205,1/28/1991,Louisville
00-0030264,Etienne Sabino,247,11/13/1990,Ohio State
00-0030265,Alonzo Tweedy,193,7/27/1989,Virginia Tech
00-0030263,Charles James,185,5/14/1990,Charleston Southern
00-0030260,Michael Zordich,245,10/29/1989,Penn State
00-0021314,Chester Taylor,213,9/22/1979,Toledo
00-0009056,Jevon Kearse,265,9/3/1976,Florida
00-0033374,Ricky Ortiz,233,4/15/1994,Oregon State
00-0026309,Trevor Scott,260,8/30/1984,Buffalo
00-0010373,Olindo Mare,185,6/6/1973,Syracuse
00-0021647,Jerheme Urban,207,11/26/1980,Trinity (Tex.)
00-0020305,A.J. Feeley,216,5/16/1977,Oregon
00-0020301,Renaldo Hill,205,11/12/1978,Michigan State
00-0026302,Erik Ainge,221,6/12/1986,Tennessee
00-0023966,Troy Bergeron,195,12/3/1983,Middle Tennessee State
00-0014255,Ephraim Salaam,310,6/19/1976,San Diego State
00-0023968,Micheal Spurlock,210,1/31/1983,Mississippi
00-0026300,Josh Johnson,219,5/15/1986,San Diego
00-0019630,Kendrick Clancy,305,8/17/1978,Mississippi
00-0019632,Cooper Carlisle,310,8/11/1977,Florida
00-0026301,Marcus Howard,244,10/12/1985,Georgia
00-0019635,Dhani Jones,236,2/22/1978,Michigan
00-0026306,Marcus Thomas,215,5/28/1984,Texas-El Paso
00-0018613,Cornell Green,315,8/25/1976,Central Florida
00-0026307,Erik Walden,250,8/21/1985,Middle Tennessee State
00-0028007,Rob Housler,250,3/17/1988,Florida Atlantic
00-0028006,Kelvin Sheppard,249,1/2/1988,LSU
00-0026305,Jonathan Goff,241,12/12/1985,Vanderbilt
00-0028557,Bart Johnson,195,5/2/1988,Texas Christian
00-0028004,Dontay Moch,255,7/19/1988,Nevada
00-0028218,Mark Dell,195,5/28/1989,Michigan State
00-0028216,Brandon Bing,175,8/8/1989,Rutgers
00-0028217,Ronnell Brown,286,7/2/1988,James Madison
00-0028212,Colin Miller,300,11/22/1987,Central Michigan
00-0028550,Colin Cochart,249,7/7/1987,South Dakota State
00-0029202,Mike Adams,323,3/10/1990,Ohio State
00-0034028,Brian Riley,174,8/22/1995,San Diego
00-0023331,Matt Katula,265,8/22/1982,Wisconsin
00-0034025,Marvin Bracy,172,12/15/1993,Florida State
00-0034027,De'Quan Hampton,225,4/18/1994,USC
00-0034021,Darrell Brown,276,12/21/1993,Louisiana Tech
00-0034022,Nate Iese,243,9/25/1994,UCLA
00-0034023,Pig Howard,185,3/9/1993,Tennessee
00-0029973,Alonzo Highsmith,240,11/21/1989,Arkansas
00-0029975,Jordan Kovacs,208,6/12/1990,Michigan
00-0031614,Obum Gwacham,246,3/20/1991,Oregon State
00-0031615,Christian Ringo,298,3/10/1992,Louisiana-Lafayette
00-0031616,Reshard Cliett,222,4/29/1992,South Florida
00-0031617,Kennard Backman,245,2/26/1993,Alabama-Birmingham
00-0006072,Mike Goff,311,1/6/1976,Iowa
00-0031611,Josh Robinson,221,8/24/1992,Mississippi State
00-0031612,Aaron Ripkowski,246,12/20/1992,Oklahoma
00-0031613,Amarlo Herrera,244,9/20/1991,Georgia
00-0029205,Travaris Cadet,210,2/1/1989,Appalachian State
00-0031618,Kristjan Sokoli,300,9/24/1991,Buffalo
00-0031619,Christian Covington,290,10/16/1993,Rice
00-0029755,Brian Leonhardt,255,4/2/1990,Bemidji State
00-0033372,Brandon Kublanow,300,4/5/1995,Georgia
00-0029756,Lamar Mady,315,12/13/1990,Youngstown State
00-0029757,Sam McGuffie,200,10/16/1989,Rice
00-0021798,Billy Yates,305,4/15/1980,Texas A&M;
00-0021791,Otis Grigsby,260,11/19/1980,Kentucky
00-0032753,Luke Rhodes,238,12/2/1992,William & Mary
00-0029039,Donnie Fletcher,195,5/23/1990,Boston College
00-0029038,Marcus Dowtin,230,1/22/1989,North Alabama
00-0029035,Hayworth Hicks,330,10/3/1988,Iowa State
00-0029034,James Aiono,305,1/23/1989,Utah
00-0029036,Jabin Sambrano,190,3/15/1990,Montana
00-0029031,Brian Stahovich,197,4/14/1990,San Diego State
00-0029030,Micah Pellerin,192,11/23/1988,Hampton
00-0029033,Griff Whalen,190,3/1/1990,Stanford
00-0029032,Latarrius Thomas,210,3/22/1988,Eastern Michigan
00-0025479,Trent Edwards,230,10/30/1983,Stanford
00-0025478,Mario Henderson,340,10/29/1984,Florida State
00-0025471,Jonathan Wade,195,3/27/1984,Tennessee
00-0025470,Charles Johnson,278,7/10/1986,Georgia
00-0025473,Marshal Yanda,305,9/15/1984,Iowa
00-0025472,Brandon Mebane,311,1/15/1985,California
00-0025475,Andy Alleman,310,11/20/1983,Akron
00-0025474,Stewart Bradley,258,11/2/1983,Nebraska
00-0025476,Aaron Rouse,227,1/8/1984,Virginia Tech
00-0026071,Kyle Arrington,186,8/12/1986,Hofstra
00-0026072,Jed Collins,252,3/3/1986,Washington State
00-0030878,Chris Elkins,300,6/24/1992,Youngstown State
00-0026076,Shaheer McBride,205,2/6/1985,Delaware State
00-0026077,Justin Roland,242,1/14/1986,Kansas State
00-0026078,Kolo Kapanui,270,11/13/1983,West Texas A&M;
00-0026079,Gerard Lawson,195,1/12/1985,Oregon State
00-0030871,Garrison Smith,295,10/9/1991,Georgia
00-0030870,Tevin Mims,265,1/23/1991,South Florida
00-0030875,Andrew Wilson,242,2/7/1991,Missouri
00-0030874,Damien Williams,224,4/3/1992,Oklahoma
00-0030532,Stedman Bailey,194,11/11/1990,West Virginia
00-0030821,Allen Hurns,201,11/12/1991,Miami (Fla.)
00-0030822,Marcel Jensen,270,2/12/1990,Fresno State
00-0033379,Tim White,181,7/15/1994,Arizona State
00-0030531,Dallas Thomas,316,10/30/1989,Tennessee
00-0033119,Jacoby Brissett,235,12/11/1992,North Carolina State
00-0033118,Kenyan Drake,211,1/26/1994,Alabama
00-0033115,Jeff Overbaugh,236,11/24/1993,San Diego State
00-0033114,Mike Thomas,195,8/16/1994,Southern Mississippi
00-0033117,Bronson Kaufusi,285,7/6/1991,Brigham Young
00-0033111,Pharoh Cooper,207,3/7/1995,South Carolina
00-0033110,Tyler Higbee,257,1/1/1993,Western Kentucky
00-0033113,Josh Forrest,240,2/24/1992,Kentucky
00-0033112,Temarrick Hemingway,251,7/30/1993,South Carolina State
00-0030826,Rashaad Reynolds,191,2/2/1991,Oregon State
00-0029689,Dwayne Allen,265,2/24/1990,Clemson
00-0030829,Josh Wells,306,2/14/1991,James Madison
00-0030538,Johnathan Cyprien,223,7/29/1990,Florida International
00-0029685,Greg Van Roten,305,2/26/1990,Pennsylvania
00-0028038,Da'Norris Searcy,207,11/16/1988,North Carolina
00-0029683,Ronnie Hillman,195,9/14/1991,San Diego State
00-0029967,Sam Brenner,310,4/27/1990,Utah
00-0024117,William Kershaw,250,12/15/1983,Maryland
00-0027300,Eric Moncur,237,11/28/1984,Miami (Fla.)
00-0027302,David Pender,180,12/4/1987,Purdue
00-0027306,Jamie McCoy,240,7/21/1987,Texas A&M;
00-0027309,Lemuel Jeanpierre,301,5/19/1987,South Carolina
00-0027308,Jeremy Horne,193,10/25/1986,Massachusetts
00-0025819,Richmond McGee,203,4/25/1983,Texas
00-0025818,Will Billingsley,195,4/23/1984,North Carolina A&T;
00-0031052,Bashaud Breeland,195,1/30/1992,Clemson
00-0020824,Vernon Fox,203,10/9/1979,Fresno State
00-0031050,Kareem Martin,272,2/19/1992,North Carolina
00-0031051,John Brown,179,4/3/1990,Pittsburg State
00-0031056,Shaq Evans,210,3/7/1991,UCLA
00-0031057,Ka'Deem Carey,215,10/30/1992,Arizona
00-0031054,DaQuan Jones,322,12/27/1991,Penn State
00-0031055,Andre Williams,220,8/28/1992,Boston College
00-0031058,Carl Bradford,248,8/15/1992,Arizona State
00-0031059,Marqueston Huff,196,4/6/1992,Wyoming
00-0032642,Tyler Kuder,307,6/3/1992,Idaho State
00-0032643,Michael Hunter,192,4/19/1993,Oklahoma State
00-0032641,Donte Deayon,163,1/28/1994,Boise State
00-0032646,Cedrick Lang,269,5/12/1992,Texas-El Paso
00-0032645,Dennis Parks,201,7/27/1994,Rice
00-0032649,Brian Price,318,6/24/1994,Texas-San Antonio
00-0029964,Luke Marquardt,315,3/23/1990,Azusa Pacific
00-0023556,Duke Preston,311,6/12/1982,Illinois
00-0023557,Kerry Rhodes,212,8/2/1982,Louisville
00-0023558,Jason Brown,320,5/5/1983,North Carolina
00-0023559,Brady Poppinga,252,9/21/1979,Brigham Young
00-0032394,Nick Vannett,261,3/6/1993,Ohio State
00-0032395,Graham Glasgow,308,8/19/1992,Michigan
00-0032396,Vincent Valentine,320,2/23/1994,Nebraska
00-0032397,Rees Odhiambo,315,9/23/1992,Boise State
00-0032390,Cyrus Jones,200,11/29/1993,Alabama
00-0032391,Joe Thuney,305,11/18/1992,North Carolina State
00-0032392,Austin Hooper,254,10/29/1994,Stanford
00-0032393,C.J. Prosise,225,5/20/1994,Notre Dame
00-0032398,Chris Moore,204,6/16/1993,Cincinnati
00-0032399,Miles Killebrew,222,5/10/1993,Southern Utah
00-0022790,Jason David,180,6/12/1982,Washington State
00-0022793,Antonio Smith,290,10/21/1981,Oklahoma State
00-0022796,Mike Karney,260,7/6/1981,Arizona State
00-0026893,Truman Spencer,218,10/7/1985,North Texas
00-0026890,Ryan Kees,275,4/2/1986,St. Cloud State
00-0026891,Parker Douglass,170,6/25/1985,South Dakota State
00-0026896,Ed Gant,200,1/24/1987,North Alabama
00-0026895,Adam DiMichele,202,7/26/1985,Temple
00-0026898,Mark Sanchez,232,11/11/1986,USC
00-0026899,Shonn Greene,233,8/21/1985,Iowa
00-0030014,Omarius Hines,217,12/18/1989,Florida
00-0030017,Will Pericak,300,12/30/1989,Colorado
00-0030011,Jordan Devey,320,1/11/1988,Memphis
00-0030010,Brandon Copeland,263,7/2/1991,Pennsylvania
00-0030013,Rogers Gaines,239,6/24/1989,Tennessee State
00-0030012,Matt Furstenburg,244,6/19/1989,Maryland
00-0030018,Gerrard Sheppard,211,11/16/1990,Towson
00-0028025,Drake Nevis,295,5/8/1989,LSU
00-0028024,Allen Bailey,288,3/25/1989,Miami (Fla.)
00-0028027,Shareece Wright,184,4/8/1987,USC
00-0028026,Johnny Patrick,190,8/17/1988,Louisville
00-0028021,Jerrel Jernigan,189,6/14/1989,Troy
00-0028020,Vincent Brown,190,1/25/1989,San Diego State
00-0028023,Jah Reid,325,7/21/1988,Central Florida
00-0028022,Mason Foster,250,3/1/1989,Washington
00-0033285,Daeshon Hall,265,6/14/1995,Texas A&M
00-0033936,C.J. Beathard,215,11/16/1993,Iowa
00-0033287,Nico Siragusa,320,5/10/1994,San Diego State
00-0033934,Nazair Jones,304,12/13/1994,North Carolina
00-0033933,Chad Williams,204,10/19/1994,Grambling State
00-0033932,Kenny Golladay,213,11/3/1993,Northern Illinois
00-0033931,Delano Hill,216,11/26/1995,Michigan
00-0033282,Curtis Samuel,195,8/11/1996,Ohio State
00-0032888,Karl Joseph,205,9/8/1993,West Virginia
00-0032889,A'Shawn Robinson,317,3/21/1995,Alabama
00-0032881,Tommylee Lewis,168,10/24/1992,Northern Illinois
00-0032883,Mitchell Loewen,275,2/14/1993,Arkansas
00-0032884,Jeff Schoettmer,235,7/8/1993,North Carolina
00-0032885,Ryker Mathews,309,11/28/1992,Brigham Young
00-0032886,D.J. Pettway,270,9/19/1992,Alabama
00-0028539,John Graves,286,6/25/1987,Virginia Tech
00-0028538,Steven Friday,238,8/9/1986,Virginia Tech
00-0028533,Mister Alexander,252,6/2/1988,Florida State
00-0028532,Joseph Morgan,184,3/23/1988,Walsh
00-0028530,Dexter Larimore,319,7/22/1988,Ohio State
00-0028537,Jake Rogers,217,5/24/1987,Cincinnati
00-0028536,Bryan Braman,241,5/4/1987,West Texas A&M
00-0028534,Dwight Roberson,232,12/24/1987,Oregon State
00-0026794,Kyle Howard,312,5/13/1986,Wyoming
00-0029778,Darius Johnson,175,2/22/1991,Southern Methodist
00-0029779,Terren Jones,341,11/19/1991,Alabama State
00-0026791,Ronald Talley,282,2/21/1986,Delaware
00-0026790,Tyrell Sutton,213,12/19/1986,Northwestern
